network_type,target_kappa_eff,realized_kappa_eff,mechanism,seed,init_mode,noise_bare,noise_eff,omega_std,residual_kappa,initial_CI,mean_CI,final_CI,min_CI,pct_time_ge_0.75,success,delta_mean_CI_vs_none,delta_final_CI_vs_none,effect_isolated
lattice,0.5,0.5,none,12,random,0.01,0.01,0.02,0.0,0.133231,0.223386,0.269367,0.133231,0.0,False,0.0,0.0,False
lattice,0.5,0.5,noise_suppression,12,random,0.01,7.297e-05,0.02,0.0,0.133231,0.22357,0.269704,0.133231,0.0,False,0.000184,0.000337,False
lattice,0.5,0.5,freq_narrowing,12,random,0.01,0.01,0.00291894,0.0,0.133231,0.2244,0.277174,0.133231,0.0,False,0.001014,0.007807,False
lattice,0.5,0.5,residual_meanfield,12,random,0.01,0.01,0.02,0.2,0.133231,0.303429,0.46451,0.133231,0.0,False,0.080043,0.195143,True
lattice,0.5,0.5,none,17,random,0.01,0.01,0.02,0.0,0.163877,0.258775,0.333374,0.163877,0.0,False,0.0,0.0,False
lattice,0.5,0.5,noise_suppression,17,random,0.01,7.297e-05,0.02,0.0,0.163877,0.259083,0.334155,0.163877,0.0,False,0.000308,0.000781,False
lattice,0.5,0.5,freq_narrowing,17,random,0.01,0.01,0.00291894,0.0,0.163877,0.252794,0.313965,0.163877,0.0,False,-0.005981,-0.019409,True
lattice,0.5,0.5,residual_meanfield,17,random,0.01,0.01,0.02,0.2,0.163877,0.3536,0.559697,0.163877,0.0,False,0.094825,0.226323,True
smallworld,0.05,0.05,none,3,random,0.01,0.01,0.02,0.0,0.071065,0.068882,0.066587,0.066587,0.0,False,0.0,0.0,False
smallworld,0.05,0.05,noise_suppression,3,random,0.01,7.297e-05,0.02,0.0,0.071065,0.068995,0.066686,0.066686,0.0,False,0.000113,9.9e-05,False
smallworld,0.05,0.05,freq_narrowing,3,random,0.01,0.01,0.00291894,0.0,0.071065,0.074059,0.077125,0.071065,0.0,False,0.005177,0.010538,True
smallworld,0.05,0.05,residual_meanfield,3,random,0.01,0.01,0.02,0.2,0.071065,0.091,0.114579,0.071065,0.0,False,0.022118,0.047992,True
smallworld,0.05,0.05,none,5,random,0.01,0.01,0.02,0.0,0.033844,0.035192,0.037825,0.033718,0.0,False,0.0,0.0,False
smallworld,0.05,0.05,noise_suppression,5,random,0.01,7.297e-05,0.02,0.0,0.033844,0.035007,0.037676,0.033796,0.0,False,-0.000185,-0.000149,False
smallworld,0.05,0.05,freq_narrowing,5,random,0.01,0.01,0.00291894,0.0,0.033844,0.038062,0.042074,0.033844,0.0,False,0.00287,0.004249,False
smallworld,0.05,0.05,residual_meanfield,5,random,0.01,0.01,0.02,0.2,0.033844,0.046827,0.064477,0.033844,0.0,False,0.011635,0.026652,True
smallworld,0.05,0.05,none,12,random,0.01,0.01,0.02,0.0,0.133231,0.144292,0.155523,0.133231,0.0,False,0.0,0.0,False
smallworld,0.05,0.05,noise_suppression,12,random,0.01,7.297e-05,0.02,0.0,0.133231,0.144571,0.156018,0.133231,0.0,False,0.000279,0.000495,False
smallworld,0.05,0.05,freq_narrowing,12,random,0.01,0.01,0.00291894,0.0,0.133231,0.141633,0.150442,0.133231,0.0,False,-0.002659,-0.005081,False
smallworld,0.05,0.05,residual_meanfield,12,random,0.01,0.01,0.02,0.2,0.133231,0.199464,0.281071,0.133231,0.0,False,0.055172,0.125548,True
smallworld,0.05,0.05,none,17,random,0.01,0.01,0.02,0.0,0.163877,0.17137,0.179193,0.163877,0.0,False,0.0,0.0,False
smallworld,0.05,0.05,noise_suppression,17,random,0.01,7.297e-05,0.02,0.0,0.163877,0.171586,0.179552,0.163877,0.0,False,0.000216,0.000359,False
smallworld,0.05,0.05,freq_narrowing,17,random,0.01,0.01,0.00291894,0.0,0.163877,0.173111,0.182621,0.163877,0.0,False,0.001741,0.003428,False
smallworld,0.05,0.05,residual_meanfield,17,random,0.01,0.01,0.02,0.2,0.163877,0.231278,0.31223,0.163877,0.0,False,0.059908,0.133037,True
smallworld,0.1,0.1,none,3,random,0.01,0.01,0.02,0.0,0.071065,0.072515,0.07345,0.071065,0.0,False,0.0,0.0,False
smallworld,0.1,0.1,noise_suppression,3,random,0.01,7.297e-05,0.02,0.0,0.071065,0.072636,0.073553,0.071065,0.0,False,0.000121,0.000103,False
smallworld,0.1,0.1,freq_narrowing,3,random,0.01,0.01,0.00291894,0.0,0.071065,0.078078,0.08519,0.071065,0.0,False,0.005563,0.01174,True
smallworld,0.1,0.1,residual_meanfield,3,random,0.01,0.01,0.02,0.2,0.071065,0.096362,0.126764,0.071065,0.0,False,0.023847,0.053314,True
smallworld,0.1,0.1,none,5,random,0.01,0.01,0.02,0.0,0.033844,0.039212,0.044828,0.033844,0.0,False,0.0,0.0,False
smallworld,0.1,0.1,noise_suppression,5,random,0.01,7.297e-05,0.02,0.0,0.033844,0.038986,0.044557,0.033844,0.0,False,-0.000226,-0.000271,False
smallworld,0.1,0.1,freq_narrowing,5,random,0.01,0.01,0.00291894,0.0,0.033844,0.042825,0.051329,0.033844,0.0,False,0.003613,0.006501,False
smallworld,0.1,0.1,residual_meanfield,5,random,0.01,0.01,0.02,0.2,0.033844,0.052393,0.076338,0.033844,0.0,False,0.013181,0.03151,True
smallworld,0.1,0.1,none,12,random,0.01,0.01,0.02,0.0,0.133231,0.153117,0.173859,0.133231,0.0,False,0.0,0.0,False
